firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
INTERSEC;5;H04W;Wireless communication networks;;;Paris;92
INTERSENS;3;G01F;"Measuring volume, volume flow, mass flow, or liquid level; metering by volume";;;Paris;75
INTERSYNTAX;1;G06F;Electric digital data processing;;;Boulogne Billancourt;92
INTERTECHNIQUE;10;A62B;Devices, apparatus or methods for life-saving;;;Plaisir;78
INTESENS;2;H02J;"Circuit arrangements or systems for supplying or distributing electric power; systems for storing electric energy";;;Saint Orens de Gameville;31
INTRASENSE;4;G06T;Image data processing or generation, in general;;;Montpellier;34
INTSEL CHIMOS;1;A61K;Preparations for medical, dental, or toilet purposes;;;Saint Cloud;92
INTUI SENSE;4;G06F;Electric digital data processing;;;Aubagne;13
INTUILAB;3;G06F;Electric digital data processing;;;Labege;31
INTUISKIN;1;A61B;"Diagnosis; surgery; identification";;;Crolles;38
INTUITEC;1;B63B;"Ships or other waterborne vessels; equipment for shipping";;;Thonon les Bains;74
INVECTYS;15;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
INVENGO TECHNOLOGIES;2;G06K;"Recognition of data; presentation of data; record carriers; handling record carriers";;;La Ciotat;13
INVENIOS FRANCE;1;G02B;Optical elements, systems, or apparatus;;;Lyon;69
INVENTEC PERFORMANCE CHEMICALS;1;C11D;"Detergent compositions; use of single substances as detergents; soap or soap-making; resin soaps; recovery of glycerol";;;Saint Priest;69
INVENTIVA;10;A61K;Preparations for medical, dental, or toilet purposes;;;Daix;21
INVENTYS;1;F21V;"Functional features or details of lighting devices or systems thereof; structural combinations of lighting devices with other articles, not otherwise provided for";;;Bergerac;24
INVIA;1;G06K;"Recognition of data; presentation of data; record carriers; handling record carriers";;;Meyreuil;13
INVICTA;2;F24B;"Domestic stoves or ranges for solid fuels; implements for use in connection with stoves or ranges";;;Donchery;83
INVICTUS;1;A61K;Preparations for medical, dental, or toilet purposes;;;Bordeaux;33
INVIVIS;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Orsay;91
INVIVO AGROSOLUTIONS;1;A01P;Biocidal, pest repellant, pest attractant or plant growth regulatory activity of chemical compounds or preparations;;;Paris;75
INVIVO NSA;3;A23K;"Feeding-stuffs specially adapted for animals; methods specially adapted for production thereof";;;Saint Nolff;56
INVIVOGEN;12;A61K;Preparations for medical, dental, or toilet purposes;;;Toulouse;31
INVOXIA;6;A01K;"Animal husbandry; care of birds, fishes, insects; fishing; rearing or breeding animals, not otherwise provided for; new breeds of animals";;;Issy les Moulineaux;92
INWEBO TECHNOLOGIES;2;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Paris;75
ION BEAM SERVICES;16;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Peynier;13
IONICS FRANCE;5;C23C;"Coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general";C30B;Single-crystal growth;Herouville Saint Clair;14
IONOSYS;1;G06F;Electric digital data processing;;;Sceaux;92
IOUALALEN ARNAULT;1;G06F;Electric digital data processing;;;Montpellier;34
IOUALALEN KARIM;1;A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";A61K;Preparations for medical, dental, or toilet purposes;Saint Orens;31
IP ENERGY;1;E04H;"Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general";;;Gardanne;13
IP SIGN;1;G09F;"Displaying; advertising; signs; labels or name-plates; seals";;;La Seyne sur Mer;83
IP3;2;B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";;;Saint etienne;42
IPANEMA TECHNOLOGIES;2;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Fontenay aux Roses;92
IPC;2;C11D;"Detergent compositions; use of single substances as detergents; soap or soap-making; resin soaps; recovery of glycerol";;;Brest;29
IPCEPTION;1;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Montigny le Bretonneux;78
IPDIA;9;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Caen;14
IPRASENSE;3;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Clapiers;34
IPSB;1;C12M;Apparatus for enzymology or microbiology;E21F;Safety devices, transport, filling-up, rescue, ventilation, or drainage in or of mines or tunnels;Avon;77
IPSEN PHARMA;30;A61K;Preparations for medical, dental, or toilet purposes;;;Boulogne Billancourt;92
IPSIIS;1;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Moissy Cramayel;77
